date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2025-10-31,NHL,28584adade779364023ac8aadfe98b85,2025-10-31T02:38:00Z,2025-10-31T05:00:00Z,2025-10-31T04:55:39Z,"Sun, 08 Feb 2026 05:18:08 GMT",2025-10-31T04:53:50Z,Los Angeles Kings,Detroit Red Wings,caesars,350,-500,1.5,-190,-1.5,150,4.5,-110,-120
2025-10-31,NHL,28584adade779364023ac8aadfe98b85,2025-10-31T02:38:00Z,2025-10-31T05:00:00Z,2025-10-31T04:55:39Z,"Sun, 08 Feb 2026 05:18:08 GMT",2025-10-31T04:54:50Z,Los Angeles Kings,Detroit Red Wings,betmgm,375,-550,1.5,-200,-1.5,145,4.5,-130,-102
2025-10-31,NHL,891e30b595fc9ead24c17dac32d8a730,2025-10-31T20:10:00Z,2025-10-31T05:00:00Z,2025-10-31T04:55:39Z,"Sun, 08 Feb 2026 05:18:08 GMT",2025-10-31T04:53:50Z,Vegas Golden Knights,Colorado Avalanche,caesars,-115,-105,1.5,-278,-1.5,222,6.5,105,-125
2025-10-31,NHL,891e30b595fc9ead24c17dac32d8a730,2025-10-31T20:10:00Z,2025-10-31T05:00:00Z,2025-10-31T04:55:39Z,"Sun, 08 Feb 2026 05:18:08 GMT",2025-10-31T04:54:50Z,Vegas Golden Knights,Colorado Avalanche,betmgm,-110,-110,-1.5,200,1.5,-250,6.0,-118,-102
2025-10-31,NHL,a6a9e06d54c841c999b6ff69df6a1e52,2025-10-31T23:10:00Z,2025-10-31T05:00:00Z,2025-10-31T04:55:39Z,"Sun, 08 Feb 2026 05:18:08 GMT",2025-10-31T04:53:50Z,Washington Capitals,New York Islanders,caesars,-220,180,-1.5,118,1.5,-140,6.0,-110,-110
2025-10-31,NHL,a6a9e06d54c841c999b6ff69df6a1e52,2025-10-31T23:10:00Z,2025-10-31T05:00:00Z,2025-10-31T04:55:39Z,"Sun, 08 Feb 2026 05:18:08 GMT",2025-10-31T04:54:50Z,Washington Capitals,New York Islanders,betmgm,-220,180,-1.5,110,1.5,-135,6.0,-115,-105
2025-10-31,NHL,136a2ecd236106e9af284f0413d58565,2025-11-01T02:10:00Z,2025-10-31T05:00:00Z,2025-10-31T04:55:39Z,"Sun, 08 Feb 2026 05:18:08 GMT",2025-10-31T04:53:50Z,Anaheim Ducks,Detroit Red Wings,caesars,-130,110,-1.5,185,1.5,-225,6.5,110,-130
2025-10-31,NHL,136a2ecd236106e9af284f0413d58565,2025-11-01T02:10:00Z,2025-10-31T05:00:00Z,2025-10-31T04:55:39Z,"Sun, 08 Feb 2026 05:18:08 GMT",2025-10-31T04:54:50Z,Anaheim Ducks,Detroit Red Wings,betmgm,-130,110,-1.5,180,1.5,-220,6.0,-110,-110
