date,sport,game_id,commence_time,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2023-10-30,NHL,8ac995637bb14471f495d6671f86da02,2023-10-30T23:00:00Z,Pittsburgh Penguins,Anaheim Ducks,caesars,-250,205,-1.5,105,1.5,-125,6.5,-110,-110
2023-10-30,NHL,8ac995637bb14471f495d6671f86da02,2023-10-30T23:00:00Z,Pittsburgh Penguins,Anaheim Ducks,betmgm,-250,200,-1.5,105,1.5,-125,6.5,-110,-110
2023-10-30,NHL,e4493c81070bbd5f722a8b93af9a7030,2023-10-30T23:00:00Z,Boston Bruins,Florida Panthers,caesars,-165,140,-1.5,143,1.5,-170,6.0,-125,105
2023-10-30,NHL,e4493c81070bbd5f722a8b93af9a7030,2023-10-30T23:00:00Z,Boston Bruins,Florida Panthers,betmgm,-165,140,-1.5,140,1.5,-165,6.0,-125,105
2023-10-30,NHL,df7c497b10447da2faef6a2a183081d8,2023-10-30T23:00:00Z,Philadelphia Flyers,Carolina Hurricanes,caesars,158,-190,1.5,-160,-1.5,135,6.0,-120,100
2023-10-30,NHL,df7c497b10447da2faef6a2a183081d8,2023-10-30T23:00:00Z,Philadelphia Flyers,Carolina Hurricanes,betmgm,155,-190,1.5,-150,-1.5,125,6.0,-120,100
2023-10-30,NHL,8d1a50a2eb7acfdb1df8eacad86db0b4,2023-10-30T23:00:00Z,Tampa Bay Lightning,Seattle Kraken,caesars,-145,122,-1.5,162,1.5,-195,6.5,100,-120
2023-10-30,NHL,8d1a50a2eb7acfdb1df8eacad86db0b4,2023-10-30T23:00:00Z,Tampa Bay Lightning,Seattle Kraken,betmgm,-145,120,-1.5,165,1.5,-200,6.5,100,-120
2023-10-30,NHL,d94d7ef4f076041a5fcb2ce310bdd480,2023-10-30T23:30:00Z,New York Islanders,Detroit Red Wings,caesars,-165,140,-1.5,162,1.5,-195,6.0,100,-120
2023-10-30,NHL,d94d7ef4f076041a5fcb2ce310bdd480,2023-10-30T23:30:00Z,New York Islanders,Detroit Red Wings,betmgm,-160,135,-1.5,150,1.5,-185,6.0,100,-120
2023-10-30,NHL,1470c27f5a2c3c116a091a6217759c90,2023-10-30T23:30:00Z,Winnipeg Jets,New York Rangers,caesars,105,-125,1.5,-250,-1.5,205,5.5,-120,100
2023-10-30,NHL,1470c27f5a2c3c116a091a6217759c90,2023-10-30T23:30:00Z,Winnipeg Jets,New York Rangers,betmgm,105,-125,1.5,-225,-1.5,185,5.5,-120,100
2023-10-30,NHL,2d4f508b9a35857feaa47377f88b9065,2023-10-31T00:00:00Z,Dallas Stars,Columbus Blue Jackets,caesars,-285,228,-1.5,-105,1.5,-115,6.0,-115,-105
2023-10-30,NHL,2d4f508b9a35857feaa47377f88b9065,2023-10-31T00:00:00Z,Dallas Stars,Columbus Blue Jackets,betmgm,-275,220,-1.5,-105,1.5,-115,6.0,-115,-105
2023-10-30,NHL,9dc5ecf353481a212009d01e1d7e2c12,2023-10-31T02:00:00Z,Arizona Coyotes,Chicago Blackhawks,caesars,-190,158,-1.5,135,1.5,-160,6.0,-120,100
2023-10-30,NHL,9dc5ecf353481a212009d01e1d7e2c12,2023-10-31T02:00:00Z,Arizona Coyotes,Chicago Blackhawks,betmgm,-190,155,-1.5,130,1.5,-155,6.0,-120,100
2023-10-30,NHL,f2ce57d25b9b41d42ffa16480864d1fe,2023-10-31T02:00:00Z,Vegas Golden Knights,Montréal Canadiens,caesars,-250,205,-1.5,105,1.5,-125,6.5,100,-120
2023-10-30,NHL,f2ce57d25b9b41d42ffa16480864d1fe,2023-10-31T02:00:00Z,Vegas Golden Knights,Montréal Canadiens,betmgm,-250,200,-1.5,100,1.5,-120,6.5,100,-120
2023-10-30,NHL,358a099f74eca30337fd4f5c047cc124,2023-11-01T00:00:00Z,Toronto Maple Leafs,Los Angeles Kings,caesars,-160,135,-1.5,152,1.5,-180,7.0,110,-130
2023-10-30,NHL,5c44ee502e54c3458e3122670704e577,2023-11-01T02:00:00Z,Vancouver Canucks,Nashville Predators,caesars,-140,118,-1.5,170,1.5,-205,6.0,-105,-115
