date,sport,game_id,commence_time,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2024-12-27,NHL,8eb41095cd17d0872538eae96243ccc5,2024-12-28T00:00:00Z,Columbus Blue Jackets,Boston Bruins,caesars,140,-165,1.5,-190,-1.5,158,6.5,-105,-115
2024-12-27,NHL,8eb41095cd17d0872538eae96243ccc5,2024-12-28T00:00:00Z,Columbus Blue Jackets,Boston Bruins,betmgm,140,-165,1.5,-175,-1.5,145,6.5,100,-120
2024-12-27,NHL,f3b11bf6918eaec55ff0c954ba1beafa,2024-12-28T00:00:00Z,Buffalo Sabres,Chicago Blackhawks,caesars,-165,140,-1.5,150,1.5,-178,6.0,-105,-115
2024-12-27,NHL,f3b11bf6918eaec55ff0c954ba1beafa,2024-12-28T00:00:00Z,Buffalo Sabres,Chicago Blackhawks,betmgm,-165,140,-1.5,150,1.5,-185,6.0,-105,-115
2024-12-27,NHL,d6db500dc03df53837de7e21d3f2f678,2024-12-28T00:00:00Z,New Jersey Devils,Carolina Hurricanes,caesars,-130,110,-1.5,196,1.5,-240,5.5,-115,-105
2024-12-27,NHL,d6db500dc03df53837de7e21d3f2f678,2024-12-28T00:00:00Z,New Jersey Devils,Carolina Hurricanes,betmgm,-130,110,-1.5,200,1.5,-250,5.5,-115,-105
2024-12-27,NHL,47a8710d63edbb6f02980ebc88b79d82,2024-12-28T00:00:00Z,Detroit Red Wings,Toronto Maple Leafs,caesars,122,-145,1.5,-195,-1.5,162,6.0,-105,-115
2024-12-27,NHL,47a8710d63edbb6f02980ebc88b79d82,2024-12-28T00:00:00Z,Detroit Red Wings,Toronto Maple Leafs,betmgm,120,-145,1.5,-210,-1.5,170,6.0,100,-120
2024-12-27,NHL,9973711cc0af698ef578e60a6a68badf,2024-12-28T01:00:00Z,Dallas Stars,Minnesota Wild,caesars,-170,143,-1.5,150,1.5,-178,5.5,-125,105
2024-12-27,NHL,9973711cc0af698ef578e60a6a68badf,2024-12-28T01:00:00Z,Dallas Stars,Minnesota Wild,betmgm,-175,145,-1.5,150,1.5,-185,6.0,100,-120
2024-12-27,NHL,de22bd20e93ccdedbfff5604872390d0,2024-12-28T01:00:00Z,St Louis Blues,Nashville Predators,caesars,115,-135,1.5,-240,-1.5,196,5.5,-110,-110
2024-12-27,NHL,de22bd20e93ccdedbfff5604872390d0,2024-12-28T01:00:00Z,St Louis Blues,Nashville Predators,betmgm,115,-135,1.5,-225,-1.5,185,5.5,-110,-110
2024-12-27,NHL,3737906169d278b82f4bb32e799ab26c,2024-12-28T02:30:00Z,Utah Hockey Club,Colorado Avalanche,caesars,115,-135,1.5,-220,-1.5,180,6.5,-110,-110
2024-12-27,NHL,3737906169d278b82f4bb32e799ab26c,2024-12-28T02:30:00Z,Utah Hockey Club,Colorado Avalanche,betmgm,120,-140,1.5,-210,-1.5,170,6.5,-110,-110
2024-12-27,NHL,fb26a2335022a64e99d9c2b1ebdcc65b,2024-12-28T03:30:00Z,San Jose Sharks,Vegas Golden Knights,caesars,205,-250,1.5,-120,-1.5,100,6.5,-105,-115
2024-12-27,NHL,fb26a2335022a64e99d9c2b1ebdcc65b,2024-12-28T03:30:00Z,San Jose Sharks,Vegas Golden Knights,betmgm,200,-250,1.5,-120,-1.5,100,6.5,-105,-115
