date,sport,game_id,commence_time,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2025-12-13,NHL,3cbe202979355bbfc963280c0981fb75,2025-12-13T17:30:00Z,New Jersey Devils,Anaheim Ducks,caesars,-110,-110,-1.5,205,1.5,-250,6.0,-130,110
2025-12-13,NHL,3cbe202979355bbfc963280c0981fb75,2025-12-13T17:30:00Z,New Jersey Devils,Anaheim Ducks,betmgm,-115,-105,-1.5,200,1.5,-250,6.5,100,-120
2025-12-13,NHL,a4706a3cf4529c9589f345c1e7edb4b1,2025-12-13T19:00:00Z,Minnesota Wild,Ottawa Senators,caesars,-120,100,-1.5,210,1.5,-260,5.5,-120,100
2025-12-13,NHL,a4706a3cf4529c9589f345c1e7edb4b1,2025-12-13T19:00:00Z,Minnesota Wild,Ottawa Senators,betmgm,-118,-102,-1.5,200,1.5,-250,5.5,-120,100
2025-12-13,NHL,7e9c69b93315804a1be5f9bb7f3dffb3,2025-12-13T20:00:00Z,Pittsburgh Penguins,San Jose Sharks,caesars,-170,143,-1.5,143,1.5,-170,6.0,-120,100
2025-12-13,NHL,7e9c69b93315804a1be5f9bb7f3dffb3,2025-12-13T20:00:00Z,Pittsburgh Penguins,San Jose Sharks,betmgm,-165,140,-1.5,150,1.5,-185,6.0,-120,100
2025-12-13,NHL,86fb564bda50408c01f6094640979174,2025-12-13T20:30:00Z,New York Islanders,Tampa Bay Lightning,caesars,105,-125,1.5,-250,-1.5,205,5.5,-135,115
2025-12-13,NHL,86fb564bda50408c01f6094640979174,2025-12-13T20:30:00Z,New York Islanders,Tampa Bay Lightning,betmgm,105,-125,1.5,-225,-1.5,185,6.0,100,-120
2025-12-13,NHL,70f973bf46e7517338db5680481fd565,2025-12-14T00:00:00Z,Philadelphia Flyers,Carolina Hurricanes,caesars,143,-170,1.5,-190,-1.5,158,6.0,-105,-115
2025-12-13,NHL,70f973bf46e7517338db5680481fd565,2025-12-14T00:00:00Z,Philadelphia Flyers,Carolina Hurricanes,betmgm,145,-175,1.5,-160,-1.5,135,6.0,-105,-115
2025-12-13,NHL,962b8f1fce9a299fb60d5df4bb7cfde7,2025-12-14T00:00:00Z,Columbus Blue Jackets,Vegas Golden Knights,caesars,122,-145,1.5,-205,-1.5,170,6.0,-115,-105
2025-12-13,NHL,962b8f1fce9a299fb60d5df4bb7cfde7,2025-12-14T00:00:00Z,Columbus Blue Jackets,Vegas Golden Knights,betmgm,125,-150,1.5,-190,-1.5,155,6.0,-118,-102
2025-12-13,NHL,6fe0178185dcdcdfd8e495aa4f4e7b26,2025-12-14T00:00:00Z,Toronto Maple Leafs,Edmonton Oilers,caesars,115,-135,1.5,-225,-1.5,185,6.5,-110,-110
2025-12-13,NHL,6fe0178185dcdcdfd8e495aa4f4e7b26,2025-12-14T00:00:00Z,Toronto Maple Leafs,Edmonton Oilers,betmgm,115,-140,1.5,-200,-1.5,165,6.5,-105,-115
2025-12-13,NHL,3d53e20fc032b79d1239282ec7ba1878,2025-12-14T00:00:00Z,New York Rangers,Montréal Canadiens,caesars,-135,115,-1.5,185,1.5,-225,6.0,-110,-110
2025-12-13,NHL,3d53e20fc032b79d1239282ec7ba1878,2025-12-14T00:00:00Z,New York Rangers,Montréal Canadiens,betmgm,-135,110,-1.5,170,1.5,-210,6.0,-110,-110
2025-12-13,NHL,7832f4b8abe77a0ab345b35602b8006c,2025-12-14T00:00:00Z,Winnipeg Jets,Washington Capitals,betmgm,100,-120,1.5,-235,-1.5,190,6.0,-115,-105
2025-12-13,NHL,7832f4b8abe77a0ab345b35602b8006c,2025-12-14T00:00:00Z,Winnipeg Jets,Washington Capitals,caesars,105,-125,1.5,-250,-1.5,205,6.0,-115,-105
2025-12-13,NHL,ca766666f06841a12ec06886ab254b86,2025-12-14T01:00:00Z,Chicago Blackhawks,Detroit Red Wings,caesars,158,-190,1.5,-155,-1.5,130,6.5,100,-120
2025-12-13,NHL,ca766666f06841a12ec06886ab254b86,2025-12-14T01:00:00Z,Chicago Blackhawks,Detroit Red Wings,betmgm,165,-200,1.5,-145,-1.5,120,6.0,-120,100
2025-12-13,NHL,e9eec07982e9272b26bf3540cd25eaf1,2025-12-14T01:00:00Z,Dallas Stars,Florida Panthers,caesars,-145,122,-1.5,170,1.5,-205,6.0,-115,-105
2025-12-13,NHL,e9eec07982e9272b26bf3540cd25eaf1,2025-12-14T01:00:00Z,Dallas Stars,Florida Panthers,betmgm,-145,120,-1.5,155,1.5,-190,6.0,-110,-110
2025-12-13,NHL,72d5c92a1619d2e796389bd5e1663c9e,2025-12-14T02:00:00Z,Colorado Avalanche,Nashville Predators,caesars,-350,275,-1.5,-130,1.5,110,6.0,-120,100
2025-12-13,NHL,72d5c92a1619d2e796389bd5e1663c9e,2025-12-14T02:00:00Z,Colorado Avalanche,Nashville Predators,betmgm,-325,260,-1.5,-140,1.5,115,6.5,100,-120
2025-12-13,NHL,90f00bd4a76c80ae1317398b509bbd3b,2025-12-14T03:00:00Z,Los Angeles Kings,Calgary Flames,caesars,-170,143,-1.5,150,1.5,-178,5.5,-105,-115
2025-12-13,NHL,90f00bd4a76c80ae1317398b509bbd3b,2025-12-14T03:00:00Z,Los Angeles Kings,Calgary Flames,betmgm,-175,145,-1.5,140,1.5,-170,5.5,-105,-115
