date,sport,game_id,commence_time,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2023-11-06,NHL,1a4117cd1f40815fa2c1f799596d6f27,2023-11-07T00:00:00Z,Florida Panthers,Columbus Blue Jackets,caesars,-235,192,-1.5,110,1.5,-130,6.5,-120,100
2023-11-06,NHL,1a4117cd1f40815fa2c1f799596d6f27,2023-11-07T00:00:00Z,Florida Panthers,Columbus Blue Jackets,betmgm,-225,185,-1.5,105,1.5,-130,6.5,-120,100
2023-11-06,NHL,31689032c84fda4d4ebef6c8b19af117,2023-11-07T00:00:00Z,Toronto Maple Leafs,Tampa Bay Lightning,caesars,-155,130,-1.5,158,1.5,-190,6.5,-135,115
2023-11-06,NHL,31689032c84fda4d4ebef6c8b19af117,2023-11-07T00:00:00Z,Toronto Maple Leafs,Tampa Bay Lightning,betmgm,-155,125,-1.5,145,1.5,-175,6.5,-135,110
2023-11-06,NHL,ce11cb9f93672c37867a9a698e55d30b,2023-11-07T01:00:00Z,Dallas Stars,Boston Bruins,caesars,-140,118,-1.5,196,1.5,-240,5.5,-110,-110
2023-11-06,NHL,ce11cb9f93672c37867a9a698e55d30b,2023-11-07T01:00:00Z,Dallas Stars,Boston Bruins,betmgm,-145,120,-1.5,170,1.5,-210,5.5,-110,-110
2023-11-06,NHL,49a4cf852432f269832ab3cf284b19e3,2023-11-07T03:00:00Z,Vancouver Canucks,Edmonton Oilers,caesars,-105,-115,1.5,-240,-1.5,196,7.0,105,-125
2023-11-06,NHL,49a4cf852432f269832ab3cf284b19e3,2023-11-07T03:00:00Z,Vancouver Canucks,Edmonton Oilers,betmgm,-110,-110,-1.5,200,1.5,-250,7.0,105,-125
