date,sport,game_id,commence_time,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2023-11-10,NHL,bdc62e88cfa54ea2f4789681b717d16a,2023-11-11T00:00:00Z,Buffalo Sabres,Minnesota Wild,betmgm,-115,-105,-1.5,195,1.5,-250,6.5,-135,110
2023-11-10,NHL,bdc62e88cfa54ea2f4789681b717d16a,2023-11-11T00:00:00Z,Buffalo Sabres,Minnesota Wild,caesars,-115,-105,-1.5,196,1.5,-240,6.5,-125,105
2023-11-10,NHL,2e2fb3d56c9f1f03e0f7d28429c95130,2023-11-11T00:00:00Z,Toronto Maple Leafs,Calgary Flames,caesars,-155,130,-1.5,152,1.5,-180,6.5,-135,115
2023-11-10,NHL,2e2fb3d56c9f1f03e0f7d28429c95130,2023-11-11T00:00:00Z,Toronto Maple Leafs,Calgary Flames,betmgm,-155,125,-1.5,145,1.5,-175,7.0,110,-135
2023-11-10,NHL,c2c4be6d814585d694514c67fd9aa70d,2023-11-11T00:00:00Z,Florida Panthers,Carolina Hurricanes,caesars,115,-135,1.5,-225,-1.5,185,6.5,-110,-110
2023-11-10,NHL,c2c4be6d814585d694514c67fd9aa70d,2023-11-11T00:00:00Z,Florida Panthers,Carolina Hurricanes,betmgm,105,-125,1.5,-225,-1.5,185,6.5,-110,-110
2023-11-10,NHL,bd38c29eaaf05f1e82cac1560ff3f2ce,2023-11-11T00:00:00Z,New Jersey Devils,Washington Capitals,caesars,-205,170,-1.5,130,1.5,-155,6.5,100,-120
2023-11-10,NHL,bd38c29eaaf05f1e82cac1560ff3f2ce,2023-11-11T00:00:00Z,New Jersey Devils,Washington Capitals,betmgm,-190,155,-1.5,125,1.5,-150,6.5,-105,-115
2023-11-10,NHL,40b2059882c61c27abdfb20596581e4a,2023-11-11T03:00:00Z,Anaheim Ducks,Philadelphia Flyers,betmgm,100,-120,1.5,-250,-1.5,195,6.0,-115,-105
2023-11-10,NHL,40b2059882c61c27abdfb20596581e4a,2023-11-11T03:00:00Z,Anaheim Ducks,Philadelphia Flyers,caesars,105,-125,1.5,-240,-1.5,196,6.0,-120,100
2023-11-10,NHL,44a92d22c85bbbf9347cf666a226ea4c,2023-11-11T03:00:00Z,Vegas Golden Knights,San Jose Sharks,betmgm,-550,400,-2.5,-115,2.5,-105,6.5,100,-120
2023-11-10,NHL,44a92d22c85bbbf9347cf666a226ea4c,2023-11-11T03:00:00Z,Vegas Golden Knights,San Jose Sharks,caesars,-550,400,-1.5,-195,1.5,162,6.5,100,-120
