date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2026-04-01,NHL,902c8f6ff45c6855541ed7cef351aed8,2026-04-02T00:40:00Z,2026-04-01T16:09:00Z,,"Wed, 01 Apr 2026 16:09:01 GMT",2026-04-01T16:08:15Z,Colorado Avalanche,Vancouver Canucks,betmgm,-475,350,-2.5,-115,2.5,-105,6.5,-110,-110
2026-04-01,NHL,96ceffc5fa63fb301b4128bb29041f01,2026-04-02T01:10:00Z,2026-04-01T16:09:00Z,,"Wed, 01 Apr 2026 16:09:01 GMT",2026-04-01T16:08:15Z,San Jose Sharks,Anaheim Ducks,betmgm,-105,-115,1.5,-235,-1.5,190,6.5,-125,105
2026-04-01,NHL,643d656ddcc5756af5e6115f9f134a28,2026-04-02T01:10:00Z,2026-04-01T16:09:00Z,,"Wed, 01 Apr 2026 16:09:01 GMT",2026-04-01T16:08:15Z,Los Angeles Kings,St Louis Blues,betmgm,-145,120,-1.5,170,1.5,-210,5.5,-105,-115
