date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2026-07-12,WNBA,a11188d43bce66a788fd84b4a10dc19b,2026-07-12T19:00:00Z,2026-07-12T16:02:42Z,,"Sun, 12 Jul 2026 16:02:42 GMT",2026-07-12T16:02:15Z,Toronto Tempo,New York Liberty,fanduel,235,-300,7.5,-118,-7.5,-104,178.5,-112,-108
2026-07-12,WNBA,a11188d43bce66a788fd84b4a10dc19b,2026-07-12T19:00:00Z,2026-07-12T16:02:42Z,,"Sun, 12 Jul 2026 16:02:42 GMT",2026-07-12T16:00:30Z,Toronto Tempo,New York Liberty,betmgm,240,-300,6.5,-105,-6.5,-115,176.5,-125,-105
2026-07-12,WNBA,a11188d43bce66a788fd84b4a10dc19b,2026-07-12T19:00:00Z,2026-07-12T16:02:42Z,,"Sun, 12 Jul 2026 16:02:42 GMT",2026-07-12T16:01:40Z,Toronto Tempo,New York Liberty,draftkings,250,-310,7.5,-115,-7.5,-105,177.5,-115,-105
2026-07-12,WNBA,a11188d43bce66a788fd84b4a10dc19b,2026-07-12T19:00:00Z,2026-07-12T16:02:42Z,,"Sun, 12 Jul 2026 16:02:42 GMT",2026-07-12T16:01:40Z,Toronto Tempo,New York Liberty,betrivers,230,-295,6.5,-106,-6.5,-117,177.5,-117,-107
2026-07-12,WNBA,a82c548dd13bf0b9134cd20a43ac88de,2026-07-12T19:00:00Z,2026-07-12T16:02:42Z,,"Sun, 12 Jul 2026 16:02:42 GMT",2026-07-12T16:02:15Z,Washington Mystics,Seattle Storm,fanduel,-215,172,-5.5,-108,5.5,-112,162.5,-105,-115
2026-07-12,WNBA,a82c548dd13bf0b9134cd20a43ac88de,2026-07-12T19:00:00Z,2026-07-12T16:02:42Z,,"Sun, 12 Jul 2026 16:02:42 GMT",2026-07-12T16:01:40Z,Washington Mystics,Seattle Storm,draftkings,-218,180,-5.5,-118,5.5,-102,162.5,-105,-115
2026-07-12,WNBA,a82c548dd13bf0b9134cd20a43ac88de,2026-07-12T19:00:00Z,2026-07-12T16:02:42Z,,"Sun, 12 Jul 2026 16:02:42 GMT",2026-07-12T16:00:30Z,Washington Mystics,Seattle Storm,betmgm,-235,190,-5.5,-118,5.5,-102,162.5,-105,-115
2026-07-12,WNBA,a82c548dd13bf0b9134cd20a43ac88de,2026-07-12T19:00:00Z,2026-07-12T16:02:42Z,,"Sun, 12 Jul 2026 16:02:42 GMT",2026-07-12T16:01:40Z,Washington Mystics,Seattle Storm,betrivers,-225,175,-5.5,-110,5.5,-113,162.5,-107,-117
2026-07-12,WNBA,15504ed1a378321542911fbfb7a49591,2026-07-12T23:00:00Z,2026-07-12T16:02:42Z,,"Sun, 12 Jul 2026 16:02:42 GMT",2026-07-12T16:02:15Z,Dallas Wings,Chicago Sky,fanduel,-430,320,-9.5,-112,9.5,-108,177.5,-114,-106
2026-07-12,WNBA,15504ed1a378321542911fbfb7a49591,2026-07-12T23:00:00Z,2026-07-12T16:02:42Z,,"Sun, 12 Jul 2026 16:02:42 GMT",2026-07-12T16:01:40Z,Dallas Wings,Chicago Sky,draftkings,-440,340,-9.5,-115,9.5,-105,177.5,-112,-108
