date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2026-07-04,WNBA,c7e2d1320d0907e35977d472bd02d7d6,2026-07-04T17:00:00Z,2026-07-04T07:13:23Z,,"Sat, 04 Jul 2026 07:13:23 GMT",2026-07-04T07:13:08Z,Atlanta Dream,Golden State Valkyries,fanduel,-170,138,-4.5,-106,4.5,-114,162.5,-112,-108
2026-07-04,WNBA,c7e2d1320d0907e35977d472bd02d7d6,2026-07-04T17:00:00Z,2026-07-04T07:13:23Z,,"Sat, 04 Jul 2026 07:13:23 GMT",2026-07-04T07:12:35Z,Atlanta Dream,Golden State Valkyries,draftkings,-155,130,-3.5,-110,3.5,-110,161.5,-110,-110
2026-07-04,WNBA,c7e2d1320d0907e35977d472bd02d7d6,2026-07-04T17:00:00Z,2026-07-04T07:13:23Z,,"Sat, 04 Jul 2026 07:13:23 GMT",2026-07-04T07:12:25Z,Atlanta Dream,Golden State Valkyries,betrivers,-167,135,-4.5,-106,4.5,-118,162.5,-113,-110
2026-07-04,WNBA,c7e2d1320d0907e35977d472bd02d7d6,2026-07-04T17:00:00Z,2026-07-04T07:13:23Z,,"Sat, 04 Jul 2026 07:13:23 GMT",2026-07-04T07:12:45Z,Atlanta Dream,Golden State Valkyries,betmgm,-170,140,-3.5,-110,3.5,-110,161.5,-110,-110
2026-07-04,WNBA,a94e67bca9ed03e512eee9e32821184d,2026-07-05T01:00:00Z,2026-07-04T07:13:23Z,,"Sat, 04 Jul 2026 07:13:23 GMT",2026-07-04T07:13:08Z,Seattle Storm,Portland Fire,fanduel,-164,134,-3.5,-108,3.5,-112,169.5,-114,-106
2026-07-04,WNBA,a94e67bca9ed03e512eee9e32821184d,2026-07-05T01:00:00Z,2026-07-04T07:13:23Z,,"Sat, 04 Jul 2026 07:13:23 GMT",2026-07-04T07:12:25Z,Seattle Storm,Portland Fire,betrivers,-162,130,-3.5,-115,3.5,-108,168.5,-117,-107
2026-07-04,WNBA,a94e67bca9ed03e512eee9e32821184d,2026-07-05T01:00:00Z,2026-07-04T07:13:23Z,,"Sat, 04 Jul 2026 07:13:23 GMT",2026-07-04T07:12:45Z,Seattle Storm,Portland Fire,betmgm,-160,135,-3.5,-105,3.5,-115,168.5,-110,-110
2026-07-04,WNBA,a94e67bca9ed03e512eee9e32821184d,2026-07-05T01:00:00Z,2026-07-04T07:13:23Z,,"Sat, 04 Jul 2026 07:13:23 GMT",2026-07-04T07:12:35Z,Seattle Storm,Portland Fire,draftkings,-170,142,-3.5,-112,3.5,-108,169.5,-105,-115
2026-07-04,WNBA,54f91bf5767bbff2f9bb1f444a6fc510,2026-07-05T19:00:00Z,2026-07-04T07:13:23Z,,"Sat, 04 Jul 2026 07:13:23 GMT",2026-07-04T07:13:08Z,Toronto Tempo,Dallas Wings,fanduel,180,-225,5.5,-106,-5.5,-114,181.5,-112,-108
2026-07-04,WNBA,f784500c59f1f83757bec7c0ef787879,2026-07-05T23:00:00Z,2026-07-04T07:13:23Z,,"Sat, 04 Jul 2026 07:13:23 GMT",2026-07-04T07:12:35Z,Las Vegas Aces,Indiana Fever,draftkings,-238,195,-6.5,-110,6.5,-110,183.5,-110,-110
2026-07-04,WNBA,f784500c59f1f83757bec7c0ef787879,2026-07-05T23:00:00Z,2026-07-04T07:13:23Z,,"Sat, 04 Jul 2026 07:13:23 GMT",2026-07-04T07:12:25Z,Las Vegas Aces,Indiana Fever,betrivers,-286,220,-6.5,-118,6.5,-106,182.5,-112,-112
2026-07-04,WNBA,f784500c59f1f83757bec7c0ef787879,2026-07-05T23:00:00Z,2026-07-04T07:13:23Z,,"Sat, 04 Jul 2026 07:13:23 GMT",2026-07-04T07:13:08Z,Las Vegas Aces,Indiana Fever,fanduel,-265,210,-7.5,-106,7.5,-114,182.5,-110,-110
