date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2026-05-18,NHL,45a3337bdc751e814fd37929a9d94834,2026-05-18T23:40:03Z,2026-05-18T17:32:15Z,,"Mon, 18 May 2026 17:32:15 GMT",2026-05-18T17:31:31Z,Buffalo Sabres,Montréal Canadiens,betmgm,-118,-102,-1.5,200,1.5,-250,5.5,-105,-115
2026-05-18,NHL,15f3905f9616dd694d6ad7ee037c73b6,2026-05-21T00:00:47Z,2026-05-18T17:32:15Z,,"Mon, 18 May 2026 17:32:15 GMT",2026-05-18T17:31:31Z,Colorado Avalanche,Vegas Golden Knights,betmgm,-200,165,-1.5,125,1.5,-150,6.0,-120,100
2026-05-18,WNBA,c23aadbf6103e8e588fa48978ef27763,2026-05-19T00:00:00Z,2026-05-18T17:32:15Z,,"Mon, 18 May 2026 17:32:15 GMT",2026-05-18T17:30:30Z,Dallas Wings,Washington Mystics,betmgm,-185,150,-3.5,-120,3.5,100,171.5,-110,-110
2026-05-18,WNBA,34ad6990a059cba1f7d0fb218d6babc1,2026-05-19T02:00:00Z,2026-05-18T17:32:15Z,,"Mon, 18 May 2026 17:32:15 GMT",2026-05-18T17:30:30Z,Portland Fire,Connecticut Sun,betmgm,-175,145,-4.5,100,4.5,-120,173.5,-110,-110
2026-05-18,WNBA,ea258816ca0fbd6df08001c0cd6930d6,2026-05-20T02:00:00Z,2026-05-18T17:32:15Z,,"Mon, 18 May 2026 17:32:15 GMT",2026-05-18T17:30:30Z,Phoenix Mercury,Toronto Tempo,betmgm,-300,240,-7.5,-105,7.5,-115,170.5,-110,-110
