date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2026-03-28,NHL,0239b57a2eab58422b627445646022d5,2026-03-28T21:08:00Z,2026-03-28T23:08:05Z,,"Sat, 28 Mar 2026 23:08:06 GMT",2026-03-28T23:07:29Z,Boston Bruins,Minnesota Wild,betmgm,-10000,1850,-3.5,150,3.5,-200,6.5,-165,125
2026-03-28,NHL,70c07fd4bbfc8a4b0caa8904186da57a,2026-03-28T21:08:00Z,2026-03-28T23:08:05Z,,"Sat, 28 Mar 2026 23:08:06 GMT",2026-03-28T23:07:29Z,Carolina Hurricanes,New Jersey Devils,betmgm,-3000,1150,-2.5,-155,2.5,115,5.5,-140,105
2026-03-28,NHL,f3e3cc3e6294cf13fed8a7d33adc8956,2026-03-28T21:08:00Z,2026-03-28T23:08:05Z,,"Sat, 28 Mar 2026 23:08:06 GMT",2026-03-28T23:07:29Z,Pittsburgh Penguins,Dallas Stars,betmgm,750,-1400,2.5,-110,-2.5,-120,8.5,-105,-125
2026-03-28,NHL,05bbc266ec222eeb545ad47a2eab94e0,2026-03-28T21:09:00Z,2026-03-28T23:08:05Z,,"Sat, 28 Mar 2026 23:08:06 GMT",2026-03-28T23:07:29Z,Columbus Blue Jackets,San Jose Sharks,betmgm,-475,333,-1.5,-110,1.5,-120,5.5,115,-155
2026-03-28,NHL,bd12a6cf2fbc34af92080f5d4cb8c142,2026-03-28T21:38:00Z,2026-03-28T23:08:05Z,,"Sat, 28 Mar 2026 23:08:06 GMT",2026-03-28T23:07:29Z,Buffalo Sabres,Seattle Kraken,betmgm,400,-600,2.5,-155,-2.5,115,4.5,-220,160
2026-03-28,NHL,a805b62b105fd0aa26de4061e2b53337,2026-03-28T23:10:00Z,2026-03-28T23:08:05Z,,"Sat, 28 Mar 2026 23:08:06 GMT",2026-03-28T23:07:29Z,Colorado Avalanche,Winnipeg Jets,betmgm,-275,220,-1.5,-110,1.5,-110,6.0,-110,-110
2026-03-28,NHL,35e32918fc1dcb6bac7fcdf851867029,2026-03-28T23:10:00Z,2026-03-28T23:08:05Z,,"Sat, 28 Mar 2026 23:08:06 GMT",2026-03-28T23:07:29Z,Nashville Predators,Montréal Canadiens,betmgm,-105,-115,1.5,-250,-1.5,200,6.5,-105,-115
2026-03-28,NHL,8bab68b12c9382d84d3e1f0a1d58621e,2026-03-28T23:10:00Z,2026-03-28T23:08:05Z,,"Sat, 28 Mar 2026 23:08:06 GMT",2026-03-28T23:07:29Z,St Louis Blues,Toronto Maple Leafs,betmgm,-150,125,-1.5,155,1.5,-190,6.0,-105,-115
2026-03-28,NHL,370bf3bc5ac52a0421972e9a954378f6,2026-03-29T00:00:00Z,2026-03-28T23:08:05Z,,"Sat, 28 Mar 2026 23:08:06 GMT",2026-03-28T23:07:29Z,Detroit Red Wings,Philadelphia Flyers,betmgm,-130,105,-1.5,180,1.5,-220,6.0,-110,-110
2026-03-28,NHL,01cd56053db51e1cd6f4c9ea60fc009d,2026-03-29T01:00:00Z,2026-03-28T23:08:05Z,,"Sat, 28 Mar 2026 23:08:06 GMT",2026-03-28T23:07:29Z,Los Angeles Kings,Utah Mammoth,betmgm,-115,-105,-1.5,200,1.5,-250,5.5,-120,100
