date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2026-03-10,NHL,344ea3d659f8a570d2f7a539970633d6,2026-03-10T23:00:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,Boston Bruins,Los Angeles Kings,betmgm,-150,125,-1.5,155,1.5,-190,6.0,-110,-110
2026-03-10,NHL,e2c20ea45a96375034eca6e40b20c50d,2026-03-10T23:00:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,Buffalo Sabres,San Jose Sharks,betmgm,-210,170,-1.5,110,1.5,-135,6.5,-120,100
2026-03-10,NHL,9fd0a6a9a633bce8cfdde33f0492caa6,2026-03-10T23:00:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,Carolina Hurricanes,Pittsburgh Penguins,betmgm,-225,185,-1.5,105,1.5,-130,6.0,-120,100
2026-03-10,NHL,1e044bca539b0ab4da0ce5f1fd9665c3,2026-03-10T23:00:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,Tampa Bay Lightning,Columbus Blue Jackets,betmgm,-250,200,-1.5,-105,1.5,-115,6.5,-115,-105
2026-03-10,NHL,7d180045123423c1e02bae32045e1415,2026-03-10T23:00:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,Florida Panthers,Detroit Red Wings,betmgm,-130,105,-1.5,185,1.5,-225,5.5,-120,100
2026-03-10,NHL,04e98f257c5fa2eeafc67c5ad5c9fea1,2026-03-10T23:00:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,Montréal Canadiens,Toronto Maple Leafs,betmgm,-170,140,-1.5,135,1.5,-165,6.5,-110,-110
2026-03-10,NHL,8fc0620abcbe6afb534142fccec7e7c4,2026-03-10T23:10:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,New York Rangers,Calgary Flames,betmgm,-135,110,-1.5,180,1.5,-220,6.0,-105,-115
2026-03-10,NHL,da83c1a797b3d055567f7428ec20eb14,2026-03-10T23:30:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,St Louis Blues,New York Islanders,betmgm,105,-130,1.5,-235,-1.5,190,5.5,-105,-115
2026-03-10,NHL,0d72e89b9d5550033a1860b3143be68c,2026-03-11T00:00:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,Dallas Stars,Vegas Golden Knights,betmgm,-150,125,-1.5,155,1.5,-190,6.0,-102,-118
2026-03-10,NHL,5925b9b1ef7336392486a04887f6f7ab,2026-03-11T00:00:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,Minnesota Wild,Utah Mammoth,betmgm,-160,135,-1.5,145,1.5,-180,6.0,-110,-110
2026-03-10,NHL,4768653b3950b2d3d1520e980cd9b6ec,2026-03-11T00:30:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,Winnipeg Jets,Anaheim Ducks,betmgm,-130,105,-1.5,180,1.5,-220,6.0,-125,105
2026-03-10,NHL,f763969d57aaf44533efbf0ad0447f03,2026-03-11T02:00:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,Colorado Avalanche,Edmonton Oilers,betmgm,-175,145,-1.5,125,1.5,-155,7.0,105,-130
2026-03-10,NHL,b1d8aad2e3f7396c1d386c294bbe73f8,2026-03-11T02:00:00Z,2026-03-10T05:12:20Z,,"Tue, 10 Mar 2026 05:12:20 GMT",2026-03-10T05:11:21Z,Seattle Kraken,Nashville Predators,betmgm,-120,100,-1.5,195,1.5,-235,6.0,-110,-110
