date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2026-03-18,NHL,c781e17c9b7e43ff86ca0cdcda2fd20c,2026-03-18T23:09:00Z,2026-03-18T16:11:24Z,,"Wed, 18 Mar 2026 16:11:25 GMT",2026-03-18T16:10:36Z,New York Rangers,New Jersey Devils,betmgm,100,-120,1.5,-235,-1.5,195,6.0,-120,100
2026-03-18,NHL,ec0dcf609ea452b05d902d76b892c658,2026-03-18T23:10:00Z,2026-03-18T16:11:24Z,,"Wed, 18 Mar 2026 16:11:25 GMT",2026-03-18T16:10:36Z,Carolina Hurricanes,Pittsburgh Penguins,betmgm,-145,120,-1.5,165,1.5,-200,6.5,-105,-115
2026-03-18,NHL,069a610fbb90adb38785efe8ea88a213,2026-03-18T23:40:00Z,2026-03-18T16:11:24Z,,"Wed, 18 Mar 2026 16:11:25 GMT",2026-03-18T16:10:36Z,Washington Capitals,Ottawa Senators,betmgm,110,-135,1.5,-220,-1.5,180,6.0,-110,-110
2026-03-18,NHL,3823357462fd967d18f73586a4703358,2026-03-19T01:40:00Z,2026-03-18T16:11:24Z,,"Wed, 18 Mar 2026 16:11:25 GMT",2026-03-18T16:10:36Z,Calgary Flames,St Louis Blues,betmgm,105,-125,1.5,-235,-1.5,190,5.5,-115,-105
2026-03-18,NHL,cc0a178e1b67dd05da493c110f6a086a,2026-03-19T01:40:00Z,2026-03-18T16:11:24Z,,"Wed, 18 Mar 2026 16:11:25 GMT",2026-03-18T16:10:36Z,Colorado Avalanche,Dallas Stars,betmgm,-145,120,-1.5,165,1.5,-200,6.5,100,-120
2026-03-18,NHL,aa034f3d5a318a5142817618dc54cbfa,2026-03-19T02:10:00Z,2026-03-18T16:11:24Z,,"Wed, 18 Mar 2026 16:11:25 GMT",2026-03-18T16:10:36Z,Anaheim Ducks,Philadelphia Flyers,betmgm,-150,125,-1.5,155,1.5,-190,6.5,-102,-118
