date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2026-03-23,NHL,1eadd9e3836566b4d3f953be47556052,2026-03-23T00:10:00Z,2026-03-23T02:38:57Z,,"Mon, 23 Mar 2026 02:38:57 GMT",2026-03-23T02:38:02Z,Anaheim Ducks,Buffalo Sabres,betmgm,400,-600,1.5,-275,-1.5,200,10.5,110,-150
2026-03-23,NHL,a825c6b75f8bf7501c915b59bec0ca12,2026-03-23T00:10:00Z,2026-03-23T02:38:57Z,,"Mon, 23 Mar 2026 02:38:57 GMT",2026-03-23T02:36:11Z,Calgary Flames,Tampa Bay Lightning,betmgm,-110,-115,,,,,,,
2026-03-23,NHL,88395d9fd249730549bdaf11350dbd67,2026-03-23T01:10:00Z,2026-03-23T02:38:57Z,,"Mon, 23 Mar 2026 02:38:57 GMT",2026-03-23T02:38:02Z,Utah Mammoth,Los Angeles Kings,betmgm,-475,333,-1.5,-110,1.5,-120,7.5,105,-140
2026-03-23,NHL,ad8a6f75d8948ad130c35a041d855645,2026-03-23T23:30:00Z,2026-03-23T02:38:57Z,,"Mon, 23 Mar 2026 02:38:57 GMT",2026-03-23T02:38:02Z,New York Rangers,Ottawa Senators,betmgm,155,-190,1.5,-150,-1.5,125,6.0,-105,-115
