date,sport,game_id,commence_time,snapshot_taken_at_utc,api_snapshot_timestamp_utc,response_received_at_utc,bookmaker_last_update_utc,home_team,away_team,bookmaker,ml_home,ml_away,spread_home,spread_home_odds,spread_away,spread_away_odds,total_line,total_over_odds,total_under_odds
2026-07-13,WNBA,59e806dd41a1cdd33be91c732ab446be,2026-07-13T23:00:00Z,2026-07-13T04:45:05Z,,"Mon, 13 Jul 2026 04:45:06 GMT",2026-07-13T04:44:04Z,Atlanta Dream,Los Angeles Sparks,draftkings,-345,275,-7.5,-115,7.5,-105,180.5,-110,-110
2026-07-13,WNBA,59e806dd41a1cdd33be91c732ab446be,2026-07-13T23:00:00Z,2026-07-13T04:45:05Z,,"Mon, 13 Jul 2026 04:45:06 GMT",2026-07-13T04:44:26Z,Atlanta Dream,Los Angeles Sparks,fanduel,-355,280,-8.5,-110,8.5,-110,180.5,-114,-106
2026-07-13,WNBA,59e806dd41a1cdd33be91c732ab446be,2026-07-13T23:00:00Z,2026-07-13T04:45:05Z,,"Mon, 13 Jul 2026 04:45:06 GMT",2026-07-13T04:44:26Z,Atlanta Dream,Los Angeles Sparks,betrivers,-315,240,-7.5,-117,7.5,-107,179.5,-114,-109
2026-07-13,WNBA,59e806dd41a1cdd33be91c732ab446be,2026-07-13T23:00:00Z,2026-07-13T04:45:05Z,,"Mon, 13 Jul 2026 04:45:06 GMT",2026-07-13T04:44:03Z,Atlanta Dream,Los Angeles Sparks,betmgm,-350,280,-8.5,-105,8.5,-125,180.5,-110,-110
2026-07-13,WNBA,089163a3a05d1b2e8028fab27ad5605f,2026-07-14T01:00:00Z,2026-07-13T04:45:05Z,,"Mon, 13 Jul 2026 04:45:06 GMT",2026-07-13T04:44:04Z,Minnesota Lynx,Phoenix Mercury,draftkings,-800,550,-12.5,-115,12.5,-105,169.5,-110,-110
2026-07-13,WNBA,089163a3a05d1b2e8028fab27ad5605f,2026-07-14T01:00:00Z,2026-07-13T04:45:05Z,,"Mon, 13 Jul 2026 04:45:06 GMT",2026-07-13T04:44:26Z,Minnesota Lynx,Phoenix Mercury,fanduel,-800,520,-13.5,-105,13.5,-115,169.5,-108,-112
2026-07-13,WNBA,089163a3a05d1b2e8028fab27ad5605f,2026-07-14T01:00:00Z,2026-07-13T04:45:05Z,,"Mon, 13 Jul 2026 04:45:06 GMT",2026-07-13T04:44:26Z,Minnesota Lynx,Phoenix Mercury,betrivers,-910,550,-13.5,-108,13.5,-115,169.5,-117,-107
2026-07-13,WNBA,089163a3a05d1b2e8028fab27ad5605f,2026-07-14T01:00:00Z,2026-07-13T04:45:05Z,,"Mon, 13 Jul 2026 04:45:06 GMT",2026-07-13T04:44:03Z,Minnesota Lynx,Phoenix Mercury,betmgm,-800,550,-12.5,-115,12.5,-105,169.5,-105,-115
2026-07-13,WNBA,c2ecfa7d05172b4ecf75b85d53482efe,2026-07-14T15:10:00Z,2026-07-13T04:45:05Z,,"Mon, 13 Jul 2026 04:45:06 GMT",2026-07-13T04:44:04Z,Connecticut Sun,Portland Fire,draftkings,-112,-108,-1.5,-102,1.5,-118,167.5,-110,-110
2026-07-13,WNBA,c2ecfa7d05172b4ecf75b85d53482efe,2026-07-14T15:10:00Z,2026-07-13T04:45:05Z,,"Mon, 13 Jul 2026 04:45:06 GMT",2026-07-13T04:44:26Z,Connecticut Sun,Portland Fire,fanduel,-112,-108,-1.5,-104,1.5,-118,168.5,-108,-112
2026-07-13,WNBA,d6adc93ae6db516941aa0c9eabe442fd,2026-07-14T23:10:00Z,2026-07-13T04:45:05Z,,"Mon, 13 Jul 2026 04:45:06 GMT",2026-07-13T04:44:04Z,Toronto Tempo,Washington Mystics,draftkings,-105,-115,1.5,-115,-1.5,-105,171.5,-110,-110
2026-07-13,WNBA,d6adc93ae6db516941aa0c9eabe442fd,2026-07-14T23:10:00Z,2026-07-13T04:45:05Z,,"Mon, 13 Jul 2026 04:45:06 GMT",2026-07-13T04:44:26Z,Toronto Tempo,Washington Mystics,fanduel,-104,-118,1.5,-114,-1.5,-106,170.5,-112,-108
